log_id,user_id,tool_id,session_date,session_duration_minutes,prompts_per_session,prompt_category,device_type,satisfaction_score,tokens_used
LOG0014037,USR01241,TOOL011,2023-09-20 00:00:00.000000,3.0,48.0,Productivity,DESKTOP,N/A,6678.0
LOG0024617,USR00016,TOOL005,2024-12-01 00:00:00.000000,81.0,32.0,text generation,N/A,-1,631.0
LOG0015212,USR01754,TOOL001,2023-08-25 00:00:00.000000,6.0,1.0,Productivity,tablet,4,3537.0
LOG0020044,USR02342,TOOL011,2024-12-14 00:00:00.000000,,30.0,,N/A,-1,5868.0
LOG0000478,USR00084,TOOL003,2023-06-25 00:00:00.000000,46.0,26.0,Text Generation,,4,6649.0
LOG0001726,USR00013,TOOL010,2024-12-02 00:00:00.000000,34.0,13.0,CODE ASSISTANT,Desktop,3,6936.0
LOG0024191,USR02643,TOOL003,2023-08-02 00:00:00.000000,10.0,7.0,Image Generation,Tablet,3,2196.0
LOG0006901,USR02787,TOOL002,2024-09-12 00:00:00.000000,104.0,34.0,Code Assistant,DESKTOP,5,5849.0
LOG0023828,USR01054,TOOL008,2024-05-11 00:00:00.000000,62.0,16.0,Productivity,DESKTOP,5,4373.0
LOG0010337,USR00493,TOOL001,2025-01-30 00:00:00.000000,47.0,2.0,text generation,Other,N/A,6419.0
LOG0002717,USR00090,TOOL009,2023-06-05 00:00:00.000000,111.0,15.0,N/A,Web Browser,4,2692.0
LOG0022880,USR01357,TOOL008,2023-05-07 00:00:00.000000,23.0,13.0,Text Generation,DESKTOP,-1,4063.0
LOG0002117,USR02883,TOOL012,2023-03-27 00:00:00.000000,47.0,8.0,,DESKTOP,1,1117.0
LOG0008958,USR00848,TOOL006,2024-01-31 00:00:00.000000,100.0,24.0,Search & Research,Web Browser,N/A,1763.0
LOG0007196,USR02648,TOOL002,2023-07-23 00:00:00.000000,6343.0,38.0,CODE ASSISTANT,Mobile,2,4379.0
LOG0010939,USR00647,TOOL005,2024-01-19 00:00:00.000000,-23.0,-3.0,Text Generation,,-1,699.0
LOG0013763,USR99769,TOOL003,2024-08-02 00:00:00.000000,,23.0,CODE ASSISTANT,DESKTOP,2,1059.0
LOG0024219,USR00055,TOOL001,2024-08-14 00:00:00.000000,,48.0,Productivity,Web Browser,N/A,2380.0
LOG0021783,USR01140,TOOL008,2023-01-19 00:00:00.000000,118.0,19.0,text generation,tablet,2,816.0
LOG0003155,USR00579,TOOL003,2023-12-20 00:00:00.000000,109.0,45.0,Video Generation,Tablet,2,255.0
LOG0005542,USR01123,TOOL001,2024-04-22 00:00:00.000000,-19.0,,CODE ASSISTANT,Mobile,6,4255.0
LOG0017672,USR02051,TOOL003,2025-01-23 00:00:00.000000,27.0,12.0,Search & Research,Desktop,0,3889.0
LOG0015473,USR02729,TOOL003,2023-03-19 00:00:00.000000,34.0,42.0,CODE ASSISTANT,Tablet,5,1010.0
LOG0005863,USR00016,TOOL003,2024-02-08 00:00:00.000000,3.0,22.0,,Other,6,620.0
LOG0000989,USR01436,TOOL003,2024-08-23 00:00:00.000000,12.0,4.0,Video Generation,Desktop,1,
LOG0023567,USR99038,TOOL004,2023-03-05 00:00:00.000000,99.0,9.0,N/A,Web Browser,5,6044.0
LOG0022254,USR02023,TOOL006,2024-11-22 00:00:00.000000,3005.0,9.0,Productivity,tablet,6,4960.0
LOG0007510,USR01531,TOOL008,2023-07-05 00:00:00.000000,5.0,27.0,Search & Research,Other,,7859.0
LOG0000771,USR00367,TOOL011,2024-12-22 00:00:00.000000,29.0,26.0,N/A,Tablet,2,5224.0
LOG0007714,USR00769,TOOL011,2023-02-08 00:00:00.000000,67.0,50.0,Other,Other,4,
LOG0010351,USR02297,TOOL004,2024-11-17 00:00:00.000000,-11.0,22.0,Search & Research,Web Browser,0,7249.0
LOG0015330,USR01094,TOOL005,2023-03-01 00:00:00.000000,17.0,14.0,text generation,Web Browser,N/A,631.0
LOG0018082,USR02706,TOOL002,2024-05-05 00:00:00.000000,5999.0,37.0,Image Generation,mobile,-1,7963.0
LOG0005415,USR00615,TOOL003,2023-11-23 00:00:00.000000,,26.0,Image Generation,mobile,3,6949.0
LOG0000182,USR02915,TOOL011,2024-01-25 00:00:00.000000,49.0,37.0,CODE ASSISTANT,Mobile,3,2827.0
LOG0017868,USR02752,TOOL005,2024-10-29 00:00:00.000000,29.0,43.0,CODE ASSISTANT,Other,N/A,3657.0
LOG0022173,USR00025,TOOL012,2023-02-10 00:00:00.000000,11.0,27.0,N/A,Mobile,6,5594.0
LOG0022415,USR02094,TOOL012,2023-02-05 00:00:00.000000,118.0,40.0,Video Generation,Tablet,3,1422.0
LOG0011142,USR00205,TOOL008,2023-09-06 00:00:00.000000,26.0,42.0,N/A,Desktop,N/A,3211.0
LOG0014238,USR00602,TOOL004,2024-10-12 00:00:00.000000,117.0,38.0,Productivity,N/A,N/A,737.0
LOG0004641,USR02307,TOOL002,2023-02-28 00:00:00.000000,17.0,11.0,Video Generation,,-1,7651.0
LOG0006542,USR02136,TOOL012,2023-05-17 00:00:00.000000,38.0,15.0,,,,1333.0
LOG0002523,USR00810,TOOL012,2023-12-01 00:00:00.000000,2034.0,3.0,N/A,Other,-1,6454.0
LOG0024169,USR01453,TOOL012,2024-03-31 00:00:00.000000,96.0,3.0,,Web Browser,,7890.0
LOG0012242,USR02233,TOOL012,,38.0,35.0,,,4,628.0
LOG0020930,USR00998,TOOL010,2024-11-02 00:00:00.000000,,50.0,Search & Research,N/A,3,1894.0
LOG0012006,USR02333,TOOL003,2024-04-03 00:00:00.000000,41.0,50.0,text generation,tablet,0,4073.0
LOG0021751,USR02173,TOOL006,2024-12-13 00:00:00.000000,7.0,6.0,text generation,tablet,1,3441.0
LOG0015142,USR01010,TOOL009,2023-07-18 00:00:00.000000,27.0,5.0,Productivity,Tablet,0,1677.0
LOG0013788,USR00956,TOOL011,2024-01-24 00:00:00.000000,54.0,45.0,,Desktop,,7225.0
LOG0016559,USR00325,TOOL001,2024-03-22 00:00:00.000000,-1.0,7.0,Other,,3,6744.0
LOG0019709,USR02039,TOOL009,2025-01-11 00:00:00.000000,68.0,23.0,Code Assistant,Mobile,4,3547.0
LOG0000003,USR02800,TOOL001,2024-04-12 00:00:00.000000,75.0,11.0,CODE ASSISTANT,DESKTOP,1,2398.0
LOG0002364,USR02276,TOOL001,2024-01-25 00:00:00.000000,9.0,46.0,Text Generation,Other,N/A,5318.0
LOG0011832,USR01866,TOOL005,2023-08-20 00:00:00.000000,75.0,43.0,Code Assistant,Web Browser,5,1033.0
LOG0000812,USR01917,TOOL006,2023-09-28 00:00:00.000000,19.0,22.0,Search & Research,,3,6971.0
LOG0003273,USR00926,TOOL010,2023-12-14 00:00:00.000000,44.0,42.0,Code Assistant,N/A,2,5989.0
LOG0008260,USR01341,TOOL007,2024-06-13 00:00:00.000000,49.0,6.0,Text Generation,Web Browser,1,6239.0
LOG0001980,USR01951,TOOL012,2024-06-06 00:00:00.000000,32.0,46.0,N/A,Mobile,4,1889.0
LOG0006326,USR00624,TOOL002,2024-12-30 00:00:00.000000,59.0,5.0,,tablet,1,2499.0
LOG0010521,USR01638,TOOL003,2024-03-15 00:00:00.000000,75.0,36.0,text generation,Other,6,4936.0
LOG0016555,USR00274,TOOL009,2024-05-14 00:00:00.000000,30.0,11.0,Productivity,Other,2,6115.0
LOG0003431,USR00448,TOOL001,2024-01-16 00:00:00.000000,37.0,24.0,Productivity,tablet,4,3054.0
LOG0020161,USR02063,TOOL012,2024-06-23 00:00:00.000000,35.0,32.0,CODE ASSISTANT,Tablet,,4873.0
LOG0010205,USR00012,TOOL145,2023-06-05 00:00:00.000000,62.0,47.0,Other,Mobile,4,759.0
LOG0003157,USR02856,TOOL005,2023-02-28 00:00:00.000000,64.0,23.0,Text Generation,DESKTOP,,5579.0
LOG0018194,USR00222,TOOL009,2024-11-03 00:00:00.000000,80.0,41.0,Productivity,,6,6437.0
LOG0013697,USR01465,TOOL010,2023-07-18 00:00:00.000000,43.0,14.0,Code Assistant,Web Browser,1,4465.0
LOG0020447,USR02668,TOOL008,2023-10-24 00:00:00.000000,75.0,48.0,Productivity,Desktop,-1,7557.0
LOG0009875,USR00255,TOOL004,2024-02-03 00:00:00.000000,79.0,5.0,Video Generation,Desktop,3,2541.0
LOG0020513,USR00590,TOOL001,2024-12-15 00:00:00.000000,19.0,5.0,Video Generation,Mobile,0,2135.0
LOG0024652,USR02033,TOOL003,2023-12-26 00:00:00.000000,98.0,32.0,N/A,N/A,1,7005.0
LOG0002576,USR01206,TOOL009,2023-11-26 00:00:00.000000,79.0,5.0,Text Generation,Other,2,238.0
LOG0013709,USR00239,TOOL004,2023-11-08 00:00:00.000000,97.0,11.0,Productivity,Web Browser,N/A,5204.0
LOG0013939,USR01162,TOOL008,2024-10-09 00:00:00.000000,102.0,47.0,CODE ASSISTANT,,3,
LOG0012140,USR01830,TOOL004,2024-02-08 00:00:00.000000,49.0,20.0,Image Generation,,-1,5404.0
LOG0023447,USR01915,TOOL006,2025-01-06 00:00:00.000000,50.0,24.0,,Mobile,3,7563.0
LOG0009088,USR01665,TOOL001,2023-11-19 00:00:00.000000,39.0,49.0,,tablet,6,6283.0
LOG0024180,USR02962,TOOL003,2023-06-12 00:00:00.000000,111.0,14.0,CODE ASSISTANT,Mobile,2,2372.0
LOG0021711,USR01397,TOOL001,2024-09-16 00:00:00.000000,33.0,31.0,Search & Research,N/A,3,2138.0
LOG0023085,USR02116,TOOL007,2024-01-20 00:00:00.000000,,27.0,text generation,Tablet,1,289.0
LOG0021383,USR01119,TOOL008,2024-08-05 00:00:00.000000,70.0,44.0,CODE ASSISTANT,,,2374.0
LOG0022250,USR00535,TOOL001,2024-04-23 00:00:00.000000,95.0,3.0,Image Generation,Mobile,0,4649.0
LOG0000075,USR02214,TOOL008,2023-09-09 00:00:00.000000,18.0,14.0,Productivity,DESKTOP,5,3618.0
LOG0021394,USR01075,TOOL004,2024-10-26 00:00:00.000000,55.0,24.0,,Mobile,5,482.0
LOG0023679,USR01226,TOOL005,2023-12-11 00:00:00.000000,101.0,-2.0,Productivity,,6,3228.0
LOG0019335,USR02164,TOOL004,2026-07-12 02:05:25.347157,73.0,22.0,Video Generation,Mobile,,5173.0
LOG0012258,USR00760,TOOL003,2023-11-03 00:00:00.000000,-13.0,42.0,N/A,,3,3038.0
LOG0012363,USR99142,TOOL001,2024-08-19 00:00:00.000000,4213.0,33.0,CODE ASSISTANT,tablet,3,7716.0
LOG0013960,USR01516,TOOL008,2023-09-15 00:00:00.000000,66.0,27.0,text generation,DESKTOP,5,
LOG0002545,USR01086,TOOL010,2024-08-22 00:00:00.000000,15.0,50.0,Other,,N/A,4559.0
LOG0003369,USR02460,TOOL143,2023-08-20 00:00:00.000000,29.0,21.0,Productivity,tablet,6,5659.0
LOG0012839,USR01096,TOOL009,2024-03-28 00:00:00.000000,66.0,9.0,Other,Tablet,0,2430.0
LOG0011195,USR02258,TOOL003,2024-09-12 00:00:00.000000,100.0,-4.0,text generation,tablet,,5622.0
LOG0003077,USR02837,TOOL010,2023-03-23 00:00:00.000000,6.0,45.0,Image Generation,Other,6,5420.0
LOG0016632,USR01530,TOOL003,2024-03-17 00:00:00.000000,12.0,50.0,text generation,Mobile,3,6995.0
LOG0009580,USR01980,TOOL011,2025-01-12 00:00:00.000000,60.0,31.0,Search & Research,N/A,2,2690.0
LOG0012383,USR02194,TOOL007,2023-10-07 00:00:00.000000,63.0,15.0,Productivity,Desktop,,5782.0
LOG0019459,USR00763,TOOL006,2024-07-17 00:00:00.000000,94.0,29.0,Productivity,DESKTOP,-1,7197.0
LOG0021396,USR01493,TOOL001,2024-03-05 00:00:00.000000,98.0,16.0,Text Generation,DESKTOP,1,6624.0
LOG0016707,USR01834,TOOL011,2023-01-21 00:00:00.000000,36.0,8.0,text generation,Tablet,1,4202.0
LOG0020320,USR01996,TOOL003,2023-08-14 00:00:00.000000,62.0,,text generation,N/A,6,5351.0
LOG0024954,USR00127,TOOL010,2024-01-22 00:00:00.000000,12.0,14.0,,DESKTOP,0,5856.0
LOG0013609,USR02384,TOOL007,2023-12-08 00:00:00.000000,27.0,18.0,text generation,mobile,2,616.0
LOG0018629,USR00608,TOOL006,2023-03-08 00:00:00.000000,18.0,26.0,N/A,mobile,6,4052.0
LOG0014663,USR00289,TOOL009,2024-06-18 00:00:00.000000,104.0,7.0,Search & Research,Desktop,,2737.0
LOG0011157,USR02266,TOOL005,2024-06-19 00:00:00.000000,44.0,42.0,,Tablet,4,3597.0
LOG0009292,USR00302,TOOL002,2024-04-23 00:00:00.000000,6.0,2.0,Image Generation,Desktop,0,2563.0
LOG0018914,USR00467,TOOL003,2024-01-09 00:00:00.000000,56.0,8.0,text generation,DESKTOP,2,4085.0
LOG0004411,USR02467,TOOL010,2024-01-01 00:00:00.000000,115.0,23.0,Search & Research,DESKTOP,3,3453.0
LOG0010641,USR02486,TOOL001,2024-09-20 00:00:00.000000,44.0,13.0,Video Generation,,0,4252.0
LOG0019127,USR01139,TOOL003,2023-01-29 00:00:00.000000,82.0,50.0,Image Generation,Desktop,0,4106.0
LOG0001764,USR01099,TOOL002,2023-02-04 00:00:00.000000,99.0,11.0,Image Generation,Desktop,0,7317.0
LOG0011549,USR01366,TOOL007,2024-06-11 00:00:00.000000,56.0,7.0,Video Generation,tablet,2,6075.0
LOG0008344,USR00929,TOOL008,2023-08-15 00:00:00.000000,54.0,16.0,,,2,177.0
LOG0010569,USR02679,TOOL007,2025-01-30 00:00:00.000000,88.0,48.0,Productivity,Tablet,4,4185.0
LOG0005207,USR02336,TOOL009,2023-01-07 00:00:00.000000,44.0,8.0,Text Generation,Tablet,4,3372.0
LOG0020353,USR00880,TOOL009,2024-06-12 00:00:00.000000,26.0,18.0,Search & Research,Other,4,7538.0
LOG0015291,USR01454,TOOL003,2023-01-12 00:00:00.000000,113.0,14.0,Other,DESKTOP,0,189.0
LOG0007322,USR02169,TOOL001,,4971.0,29.0,Productivity,DESKTOP,2,1411.0
LOG0006717,USR02174,TOOL004,2024-06-26 00:00:00.000000,108.0,30.0,N/A,Tablet,2,7062.0
LOG0021407,USR01591,TOOL009,2024-08-30 00:00:00.000000,7.0,23.0,Code Assistant,Desktop,5,7896.0
LOG0017216,USR00502,TOOL003,2024-01-12 00:00:00.000000,76.0,44.0,Video Generation,DESKTOP,-1,5601.0
LOG0016522,USR02085,TOOL011,2023-05-28 00:00:00.000000,20.0,4.0,CODE ASSISTANT,N/A,N/A,3805.0
LOG0021501,USR00719,TOOL001,2023-11-19 00:00:00.000000,89.0,2.0,Code Assistant,Web Browser,3,4961.0
LOG0006819,USR02727,TOOL002,2023-01-06 00:00:00.000000,10.0,50.0,Image Generation,Mobile,1,5057.0
LOG0014558,USR00692,TOOL009,2025-01-23 00:00:00.000000,99.0,34.0,Search & Research,Desktop,1,1572.0
LOG0013060,USR01323,TOOL012,2023-01-09 00:00:00.000000,8921.0,2.0,Text Generation,Mobile,2,2347.0
LOG0001849,USR00468,TOOL006,2023-10-08 00:00:00.000000,82.0,34.0,Code Assistant,Web Browser,2,7204.0
LOG0006054,USR01044,TOOL001,2024-06-14 00:00:00.000000,,26.0,Video Generation,Mobile,0,168.0
LOG0009904,USR02147,TOOL004,2023-10-30 00:00:00.000000,107.0,22.0,N/A,Web Browser,0,1638.0
LOG0011644,USR00678,TOOL003,2023-12-24 00:00:00.000000,102.0,18.0,Other,Other,4,4980.0
LOG0023513,USR02818,TOOL007,2024-08-30 00:00:00.000000,51.0,36.0,Other,Mobile,1,
LOG0005322,USR00682,TOOL009,2024-05-02 00:00:00.000000,43.0,39.0,Image Generation,Mobile,6,
LOG0004831,USR01655,TOOL009,2023-11-18 00:00:00.000000,117.0,28.0,Video Generation,DESKTOP,,406.0
LOG0010886,USR02205,TOOL003,2023-03-25 00:00:00.000000,-23.0,40.0,text generation,N/A,3,5837.0
LOG0017105,USR01805,TOOL010,2023-01-01 00:00:00.000000,116.0,34.0,,tablet,4,7855.0
LOG0003948,USR02767,TOOL003,2026-09-16 02:05:25.229713,88.0,20.0,Code Assistant,Web Browser,1,4538.0
LOG0023867,USR01842,TOOL002,2024-12-03 00:00:00.000000,85.0,34.0,Search & Research,Mobile,3,2661.0
LOG0012111,USR01907,TOOL001,2024-09-26 00:00:00.000000,27.0,48.0,Video Generation,Tablet,,6715.0
LOG0014860,USR02910,TOOL011,2024-07-03 00:00:00.000000,37.0,30.0,Productivity,tablet,N/A,7647.0
LOG0002321,USR00111,TOOL003,2024-08-15 00:00:00.000000,117.0,36.0,text generation,Tablet,2,
LOG0009981,USR00823,TOOL004,2024-11-15 00:00:00.000000,101.0,30.0,Search & Research,N/A,N/A,4770.0
LOG0004530,USR01000,TOOL008,2024-06-12 00:00:00.000000,27.0,13.0,,Tablet,4,3769.0
LOG0004034,USR00816,TOOL001,2024-09-24 00:00:00.000000,53.0,14.0,,Mobile,,5485.0
LOG0010904,USR99210,TOOL006,2023-01-24 00:00:00.000000,-30.0,10.0,Video Generation,DESKTOP,2,3314.0
LOG0013421,USR01919,TOOL012,2023-06-08 00:00:00.000000,34.0,33.0,CODE ASSISTANT,Other,-1,5199.0
LOG0011066,USR00559,TOOL001,2023-10-23 00:00:00.000000,37.0,44.0,CODE ASSISTANT,DESKTOP,0,6162.0
LOG0004481,USR02588,TOOL007,2023-12-11 00:00:00.000000,5.0,41.0,Search & Research,Desktop,-1,7804.0
LOG0021230,USR01235,TOOL005,2023-01-12 00:00:00.000000,-16.0,30.0,Text Generation,mobile,5,2951.0
LOG0010610,USR02894,TOOL011,2024-11-15 00:00:00.000000,28.0,46.0,Code Assistant,,2,1795.0
LOG0003507,USR00910,TOOL004,2024-04-08 00:00:00.000000,93.0,27.0,Video Generation,mobile,N/A,6433.0
LOG0010993,USR02777,TOOL003,2024-03-20 00:00:00.000000,75.0,30.0,Other,Mobile,,7521.0
LOG0001506,USR02271,TOOL003,2024-08-13 00:00:00.000000,100.0,2.0,Other,Desktop,4,7855.0
LOG0011402,USR01608,TOOL001,2026-08-24 02:05:25.286475,106.0,19.0,CODE ASSISTANT,Mobile,0,1775.0
LOG0017662,USR02351,TOOL007,2024-12-01 00:00:00.000000,112.0,18.0,Other,Tablet,-1,3713.0
LOG0002456,USR01767,TOOL006,2024-12-14 00:00:00.000000,84.0,31.0,Code Assistant,Tablet,6,7826.0
LOG0001239,USR02755,TOOL004,2024-05-07 00:00:00.000000,97.0,,,Web Browser,5,
LOG0015017,USR00160,TOOL010,2023-05-18 00:00:00.000000,13.0,5.0,Other,tablet,6,4191.0
LOG0002503,USR01708,TOOL009,2025-01-23 00:00:00.000000,35.0,39.0,Text Generation,Other,5,790.0
LOG0000113,USR01918,TOOL008,2024-03-29 00:00:00.000000,32.0,19.0,Video Generation,Desktop,0,3899.0
LOG0014314,USR00340,TOOL011,2024-05-28 00:00:00.000000,77.0,50.0,Other,,,7808.0
LOG0019022,USR02311,TOOL002,2024-09-20 00:00:00.000000,5180.0,48.0,Search & Research,Other,-1,5038.0
LOG0009352,USR02615,TOOL006,2023-02-21 00:00:00.000000,5.0,29.0,,Tablet,6,6380.0
LOG0009063,USR00200,TOOL009,2023-10-14 00:00:00.000000,33.0,40.0,Text Generation,Web Browser,2,3732.0
LOG0007607,USR02431,TOOL012,2024-07-18 00:00:00.000000,24.0,16.0,N/A,mobile,5,596.0
LOG0006760,USR00508,TOOL001,2023-09-23 00:00:00.000000,25.0,25.0,,tablet,-1,2833.0
LOG0018989,USR02282,TOOL005,2023-06-28 00:00:00.000000,,25.0,,N/A,N/A,1739.0
LOG0005333,USR02430,TOOL005,2023-10-07 00:00:00.000000,37.0,40.0,Code Assistant,tablet,2,3325.0
LOG0013665,USR00442,TOOL005,2024-08-03 00:00:00.000000,81.0,9.0,Video Generation,mobile,2,1572.0
LOG0017995,USR00032,TOOL011,2024-11-21 00:00:00.000000,38.0,49.0,Productivity,DESKTOP,2,6425.0
LOG0016254,USR01180,TOOL012,2023-02-20 00:00:00.000000,25.0,6.0,N/A,Desktop,N/A,1168.0
LOG0006248,USR99470,TOOL008,2023-10-04 00:00:00.000000,120.0,-4.0,Code Assistant,Desktop,1,1651.0
LOG0024062,USR02829,TOOL010,2024-03-09 00:00:00.000000,84.0,37.0,Text Generation,N/A,N/A,1192.0
LOG0007805,USR02842,TOOL005,2024-10-31 00:00:00.000000,25.0,3.0,N/A,Tablet,6,4814.0
LOG0010800,USR02125,TOOL004,2023-02-02 00:00:00.000000,61.0,50.0,Video Generation,,3,3243.0
LOG0001863,USR02781,TOOL001,2024-06-12 00:00:00.000000,38.0,41.0,Text Generation,mobile,,5366.0
LOG0011998,USR00640,TOOL002,2023-04-18 00:00:00.000000,93.0,4.0,CODE ASSISTANT,Desktop,N/A,2852.0
LOG0000053,USR00949,TOOL010,2024-02-14 00:00:00.000000,110.0,47.0,CODE ASSISTANT,DESKTOP,6,
LOG0024038,USR02709,TOOL008,2024-04-17 00:00:00.000000,55.0,33.0,Other,N/A,-1,6136.0
