feedback_id,user_id,tool_id,feedback_date,rating,feedback_text,feedback_category,sentiment,would_recommend
FB002627,USR01043,TOOL005,2024-08-19,0.0,1234,bug report,Negative,
FB003609,USR01253,TOOL009,2026-02-23,5.0,Game changer for my workflow.,Bug Report,positive,False
FB000086,USR01477,TOOL003,2025-03-25,2.0,Game changer for my workflow.,FEATURE REQUEST,NEGATIVE,True
FB001981,USR02411,TOOL006,2024-10-19,7.0,Really love using this tool daily!,Pricing,,N/A
FB000902,USR00276,TOOL010,2025-06-26,1.0,,bug report,positive,
FB000604,USR01656,TOOL004,2024-09-08,3.0,Saves me hours of work every week.,Feature Request,N/A,
FB003565,USR00424,TOOL003,2026-01-11,7.0,Very expensive for what it offers.,FEATURE REQUEST,,
FB000232,USR01591,TOOL001,2025-11-11,1.0,Incredibly fast and accurate responses.,Pricing,positive,
FB001783,USR01186,TOOL008,2024-08-26,1.0,"It is okay, nothing special.",Pricing,,1
FB002867,USR01130,TOOL007,2025-03-02,4.0,,N/A,,N/A
FB001077,USR00946,TOOL011,2025-05-02,2.0,Incredibly fast and accurate responses.,Support,Neutral,False
FB001828,USR00370,TOOL007,2026-01-03,3.0,Does the job but nothing more.,,NEGATIVE,N/A
FB000733,USR01928,TOOL005,2026-03-15,1.0,!!!!!,,positive,1
FB001699,USR02371,TOOL004,2026-04-09,2.0,,bug report,,1
FB000651,USR02199,TOOL011,2025-06-18,-1.0,asdfjkl;,Pricing,N/A,0
FB001978,USR00119,TOOL001,2026-12-29,3.0,Average product.,Other,Negative,
FB000507,USR00901,TOOL007,2025-07-22,2.0,1234,Other,,False
FB000524,USR00891,TOOL011,2025-06-01,1.0,Best AI tool I have used so far.,Feature Request,Neutral,True
FB001248,USR00829,TOOL005,2026-04-06,-1.0,Best AI tool I have used so far.,,positive,No
FB000115,USR01639,TOOL001,2025-02-18,5.0,Average product.,Pricing,positive,Yes
FB001109,USR00392,TOOL008,2024-11-30,5.0,1234,Other,Negative,True
FB001078,USR02155,TOOL001,2025-12-22,1.0,Game changer for my workflow.,Feature Request,NEGATIVE,
FB002771,USR01668,TOOL005,2025-12-24,3.0,N/A,Support,Negative,N/A
FB000798,USR00788,TOOL009,2025-03-25,3.0,asdfjkl;,Pricing,Negative,No
FB003610,USR02650,TOOL007,,1.0,,FEATURE REQUEST,Neutral,1
FB001985,USR02275,TOOL008,2024-10-18,1.0,"Too slow, crashes often.",General Feedback,Neutral,N/A
FB002827,USR02847,TOOL004,2026-01-28,4.0,,Pricing,positive,False
FB001998,USR00198,TOOL001,2025-01-07,3.0,asdfjkl;,FEATURE REQUEST,Negative,False
FB001972,USR00394,TOOL003,2025-12-13,1.0,Saves me hours of work every week.,Other,,
FB002590,USR01201,TOOL001,2025-11-29,4.0,Best AI tool I have used so far.,FEATURE REQUEST,Positive,0
FB001892,USR99218,TOOL009,2025-03-18,4.0,Customer support is terrible.,Feature Request,N/A,N/A
FB000321,USR00931,TOOL002,2025-12-15,4.0,Game changer for my workflow.,Support,positive,No
FB002596,USR02986,TOOL002,2024-08-04,3.0,Really love using this tool daily!,N/A,Positive,No
FB002812,USR01013,TOOL001,2026-03-03,1.0,,bug report,,
FB001805,USR01529,TOOL001,2025-05-21,4.0,Best AI tool I have used so far.,Support,N/A,True
FB003751,USR02074,TOOL001,2024-09-02,1.0,N/A,Bug Report,,True
FB003635,USR00046,TOOL010,,3.0,"Disappointing results, expected better.",FEATURE REQUEST,Neutral,False
FB002357,USR02939,TOOL005,2025-09-09,4.0,Game changer for my workflow.,N/A,Neutral,No
FB000810,USR01904,TOOL012,2025-02-06,4.0,asdfjkl;,Support,Negative,Yes
FB000891,USR01072,TOOL012,2024-11-16,0.0,Very expensive for what it offers.,N/A,N/A,No
FB000304,USR01211,TOOL011,2025-08-06,2.0,,N/A,,No
FB002589,USR01904,TOOL006,2025-10-30,5.0,,General Feedback,positive,Yes
FB000459,USR01301,TOOL012,2026-12-23,3.0,1234,,NEGATIVE,No
FB000814,USR00944,TOOL004,2025-12-27,7.0,Average product.,Performance,Neutral,True
FB003461,USR02114,TOOL001,2024-10-25,2.0,Incredibly fast and accurate responses.,Support,positive,True
FB001894,USR99495,TOOL006,2024-11-28,4.0,Best AI tool I have used so far.,FEATURE REQUEST,Negative,Yes
FB003997,USR00772,TOOL001,2025-08-02,7.0,Really love using this tool daily!,FEATURE REQUEST,N/A,0
FB000759,USR99555,TOOL001,2025-03-19,2.0,Many bugs and the UI is confusing.,Bug Report,,True
FB003154,USR01879,TOOL010,2025-05-16,7.0,"It is okay, nothing special.",Pricing,Negative,0
FB000234,USR02638,TOOL010,2025-10-02,6.0,Game changer for my workflow.,Performance,,Yes
FB002547,USR02644,TOOL012,2024-06-15,1.0,Game changer for my workflow.,FEATURE REQUEST,N/A,Yes
FB003576,USR00287,TOOL011,2024-10-31,1.0,Does the job but nothing more.,bug report,NEGATIVE,No
FB000153,USR01529,TOOL009,2024-06-28,1.0,1234,bug report,Neutral,
FB003594,USR01553,TOOL004,2025-02-18,8.0,"Too slow, crashes often.",Pricing,NEGATIVE,0
FB001641,USR02593,TOOL012,2025-02-25,5.0,Does the job but nothing more.,Pricing,NEGATIVE,N/A
FB001549,USR99206,TOOL007,2025-08-14,2.0,N/A,bug report,Neutral,0
FB001737,USR00470,TOOL009,2025-04-25,5.0,1234,Pricing,positive,1
