subscription_id,user_id,plan_type,currency,amount_paid,starting_date,ending_date,status,billing_cycle,auto_renew
SUB000280,USR01357,Free,AED,0,11/02/2026,30/01/2026,Active,Monthly,FALSE
SUB001389,USR02248,Free,AED,0,05/11/2023,21/05/2026,Cancelled,ANNUAL,no
SUB001716,USR00502,Free,AED,0,28/03/2026,,Cancelled,,TRUE
SUB000236,USR00978,Free,AED,0,21/11/2023,26/10/2023,Active,monthly,FALSE
SUB002317,USR01553,Pro,AED,151.6,22/04/2026,04/03/2025,Active,Annual,1
SUB002988,USR00118,Free,AED,0,06/01/2026,04/09/2025,Active,Annual,no
SUB000641,USR02714,Basic,USD,44.85,26/06/2025,,Expired,monthly,FALSE
SUB002417,USR00201,Enterprise,AED,511.53,28/05/2023,02/10/2024,Cancelled,,FALSE
SUB003432,USR00399,Basic,AED,47.68,19/03/2024,,Active,monthly,FALSE
SUB002953,USR02405,Pro,AED,144.07,14/01/2025,,Paused,N/A,FALSE
SUB002652,USR02258,Basic,AED,52.92,05/02/2026,,Cancelled,Annual,no
SUB000939,USR00743,Free,AED,999999,09/03/2024,27/04/2025,Active,,no
SUB001082,USR02854,--,USD,39.01,23/04/2024,,Active,Annual,TRUE
SUB003055,USR02439,Pro,AED,160.44,27/04/2024,,Cancelled,N/A,no
SUB002742,USR01606,Free,AED,0,06/05/2024,,Expired,N/A,no
SUB001933,USR02694,Basic,AED,48.65,13/05/2025,08/08/2025,Active,,no
SUB002622,USR01957,Enterprise,AED,,10/07/2024,,Active,N/A,FALSE
SUB002955,USR00767,Basic,USD,48.82,24/11/2023,,Paused,N/A,FALSE
SUB002707,USR02726,Free,AED,0,15/04/2026,,Active,Annual,FALSE
SUB003492,USR02844,Pro,AED,152.66,12/12/2025,,Expired,monthly,1
SUB002726,USR02837,Pro,USD,139.66,23/05/2025,15/07/2026,Active,N/A,TRUE
SUB002729,USR01076,Free,AED,0,08/12/2023,01/05/2027,Active,ANNUAL,no
SUB003494,USR00920,Enterprise,AED,,31/01/2025,15/11/2024,Cancelled,N/A,TRUE
SUB003418,USR02748,Free,AED,0,07/10/2023,19/10/2026,Active,Monthly,
